id;contact;type;name;value
1;1;2;first;Carolyn
2;2;2;first;Christian
3;3;2;first;Bertha
4;4;2;first;Owen
5;5;2;first;Quon
6;6;2;first;Xerxes
7;7;2;first;Kalia
8;8;2;first;Ignacia
9;9;2;first;Samuel
10;10;2;first;Yuli
11;11;2;first;Teegan
12;12;2;first;Shay
13;13;2;first;Delilah
14;14;2;first;Ella
15;15;2;first;Lucas
16;16;2;first;Fulton
17;17;2;first;Alfonso
18;18;2;first;Pamela
19;19;2;first;Noble
20;20;2;first;Melanie
21;1;2;last;Khan
22;2;2;last;Rowe
23;3;2;last;Murray
24;4;2;last;Carroll
25;5;2;last;Woodward
26;6;2;last;Barker
27;7;2;last;Stout
28;8;2;last;Macdonald
29;9;2;last;Aguirre
30;10;2;last;Keith
31;11;2;nickname;Steven
32;12;2;nickname;Sheila
33;13;2;nickname;Selma
34;14;2;nickname;Amber
35;15;2;nickname;Georgia
36;16;2;nickname;Irma
37;17;2;nickname;Ima
38;18;2;nickname;Quail
39;19;2;nickname;Jakeem
40;20;2;nickname;Claire
41;1;0;mobile;800 041 389
42;2;0;mobile;500 109 344
43;3;0;mobile;500 202 706
44;4;0;mobile;800 757 737
45;5;0;mobile;800 712 441
46;6;0;home;800 367 794
47;7;0;home;500 503 305
48;8;0;home;500 990 816
49;9;0;home;500 881 755
50;10;0;home;500 588 657
51;11;0;work;500 098 983
52;12;0;work;800 948 509
53;13;0;work;800 538 309
54;14;0;work;500 762 936
55;15;0;work;500 862 661
56;16;0;work;500 609 972
57;17;0;work;500 882 040
58;18;0;work;800 780 528
59;19;0;work;800 563 152
60;20;0;work;500 241 628
61;1;3;birthday;06/16/2018
62;2;3;birthday;12/30/2017
63;3;3;birthday;09/11/2018
64;4;3;birthday;09/24/2018
65;5;3;birthday;05/06/2017
66;6;3;birthday;07/21/2017
67;7;3;birthday;05/11/2017
68;8;3;birthday;01/07/2019
69;9;3;birthday;05/22/2017
70;10;3;birthday;01/07/2019
71;11;4;home;Ap #478-5349 Cras Ave
72;12;4;home;Ap #875-2378 Nec, St.
73;13;4;home;Ap #295-6242 Gravida. St.
74;14;4;home;P.O. Box 598, 6462 Eros Ave
75;15;4;home;P.O. Box 268, 1207 Lectus, Rd.
76;16;4;home;7497 Non Avenue
77;17;4;home;237-1038 Eget Ave
78;18;4;home;2663 Magnis Avenue
79;19;4;home;748-9210 Sed Ave
80;20;4;home;P.O. Box 928, 6161 Cursus, Ave
81;1;1;personal;vitae.erat.vel@sedsem.com
82;2;1;school;Curabitur@consectetuer.edu
83;3;1;personal;aliquet@euismod.net
84;4;1;personal;tristique.neque.venenatis@pede.ca
85;5;1;work;dictum.Phasellus@fermentumarcuVestibulum.com
86;6;1;personal;Aenean.eget@blanditviverra.com
87;7;1;personal;varius@Nulla.co.uk
88;8;1;work;Nunc.pulvinar.arcu@amifringilla.net
89;9;1;personal;feugiat.placerat.velit@Integer.ca
90;10;1;school;in.felis@semperdui.co.uk
91;11;5;note;Lorem ipsum dolor sit amet, consectetuer adipiscing
92;12;5;note;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
93;13;5;note;Lorem ipsum dolor sit
94;14;5;note;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed
95;15;5;note;Lorem ipsum dolor sit
96;16;5;note;Lorem ipsum dolor sit amet, consectetuer adipiscing elit.
97;17;5;note;Lorem ipsum dolor sit amet, consectetuer adipiscing
98;18;5;note;Lorem
99;19;5;note;Lorem ipsum dolor sit
100;20;5;note;Lorem ipsum
